Aisa_Order,person_name,ig_name,ig_id,ig_strong_id,posts,Followers,Following,ig_url,category
1,蔡阿嘎,蔡阿嘎,yga0721,45717781,8178,1495461,501,https://www.instagram.com/yga0721/,趣味搞笑
2,Joeman,Joeman 九妹,joemanweng,360484090,1615,666819,996,https://www.instagram.com/joemanweng/,"美食料理,3C科技,趣味搞笑"
3,黃阿瑪的後宮生活,黃阿瑪的後宮生活,fumeancat,1399123752,4550,1050878,159,https://www.instagram.com/fumeancat/,寵物
4,千千進食中,千千,khshu_,254432523,1002,891802,974,https://www.instagram.com/khshu_/,美食料理
5,小象愛出門,小象愛出門,elephant_gogo,484667815,1888,183273,1129,https://www.instagram.com/elephant_gogo/,"美食料理,旅遊"
6,那對夫妻,那對夫妻Nico&Kim ,1006nk,1701651749,3146,1030978,3,https://www.instagram.com/1006nk/,"趣味搞笑,家庭母嬰,表演藝術"
7,How-Fun-如何爽,HowHow,howhowhasfriends,6505088311,1921,523443,103,https://www.instagram.com/howhowhasfriends,趣味搞笑
8,PanSci-泛科學,PanSci 泛科學,pansci,1455058965,1453,283652,399,https://www.instagram.com/pansci/,知識教育
9,一隻阿圓,一隻阿圓,nanaciaociao,313471712,3373,563686,593,https://www.instagram.com/nanaciaociao/,"美妝保養,時尚潮流,旅遊"
10,欸你這週要幹嘛,欸你這週要幹嘛,arielsvlog_816,8320554996,1411,708449,473,https://www.instagram.com/arielsvlog_816/,趣味搞笑
11,77老大,77老大,basil_77777,5393203387,1054,395721,591,https://www.instagram.com/zamy_ding/,"醫療健康,知識教育"
12,那個女生-Kiki,那個女生Kiki,minikiki_0529,6204281058,1099,289658,511,https://www.instagram.com/minikiki_0529/,"美食料理,知識教育"
13,阿滴英文,阿滴,rayduenglish,288968436,1570,1089513,2228,https://www.instagram.com/rayduenglish/,知識教育
14,好味小姐,"好味小姐與蛋捲,短褲,麻糊,米香,橘皮,本丸,圓仔,More ",ladyflavor,3417748590,2094,395768,112,https://www.instagram.com/ladyflavor/,"美食料理,寵物"
14,好味小姐,好味小姐脆脆,ladyflavor_cui,3656815405,1378,369611,122,https://www.instagram.com/ladyflavor_cui/,"美食料理,寵物"
14,好味小姐,好味小姐腦波弱跟Podcast ,ladyflavor_nowpo,53675526308,472,205735,9,https://www.instagram.com/ladyflavor_nowpo/,"美食料理,寵物"
15,廉傑克曼,張廉傑 RJ / 阿傑,jaychang0127,328078093,1855,415002,4032,https://www.instagram.com/jaychang0127/,遊戲電玩
16,江老師,我是江老師,teacherchiang,30136496472,1922,308786,624,https://www.instagram.com/teacherchiang,"表演藝術,時尚潮流,家庭母嬰"
17,那些電影教我的事,那些電影教我的事,lessonsfrommovies,485234984,6816,1484140,87,https://www.instagram.com/lessonsfrommovies/,影視評論
18,豆漿--Soybean-Milk,豆漿-SoybeanMilk,soybeanmilk_cat,5556187464,2242,433921,34,https://www.instagram.com/soybeanmilk_cat/,寵物
19,Onion-man-洋蔥先生與阿文,洋蔥先生與阿文,onionman__,1981431196,1177,458424,925,https://www.instagram.com/onionman__/,"表演藝術,趣味搞笑"
20,人類超有病-Baxuan,霸軒BAXUAN,baxuan_ig,1959578996,1066,742233,2830,https://www.instagram.com/baxuan_ig/,"表演藝術,趣味搞笑"
21,大蛇丸,大蛇丸,jam_cutepig,2214964723,882,551530,390,https://www.instagram.com/jam_cutepig/,趣味搞笑
22,Andy老師,Andy老師,andy1994x,4017891221,391,1241259,57,https://www.instagram.com/andy1994x/,"趣味搞笑,表演藝術"
23,超認真少年-I'm-Serious,超認真少年,imseriou,8743462644,1529,138411,751,https://www.instagram.com/imseriou/,知識教育
24,三原慧悟-Sanyuan_JAPAN,三原 慧悟/サンエン/Mr.3,sanyuan_japan,2036845994,1147,229384,595,https://www.instagram.com/sanyuan_japan/,"旅遊,趣味搞笑"
25,貓貓蟲-咖波,Bugcat Capoo,bugcat_capoo,2122019014,1735,2136350,291,https://www.instagram.com/bugcat_capoo/,表演藝術
26,Ian&Eric,The DoDo Men - 嘟嘟人,thedodomen,22597217534,1101,609185,482,https://www.instagram.com/thedodomen/,"旅遊,趣味搞笑"
27,黃氏兄弟,黃氏兄弟,huangbrotherss,6231869789,476,454084,2,https://www.instagram.com/huangbrotherss/,"趣味搞笑,表演藝術"
28,我得了一種吃菜就會死的病-微疼,微疼,weiteng0710,1325089238,1429,322374,1071,https://www.instagram.com/weiteng0710/,"表演藝術,趣味搞笑"
29,琳妲-林羿禎,琳妲-林羿禎💕 ,linda831212,262292089,5232,1036871,2416,https://www.instagram.com/linda831212/,"表演藝術,趣味搞笑"
30,白癡公主,白癡公主,87acup,323227199,1801,1002519,515,https://www.instagram.com/87acup/,趣味搞笑
31,KEOKI-BLACK布萊克薛薛,布萊克薛薛Drangadrang,k3okii,192726292,1396,232109,389,https://www.instagram.com/k3okii/,"旅遊,美食料理"
32,厭世甜點店,厭世甜點店,energydessert2019,11941118848,1266,145675,494,https://www.instagram.com/energydessert2019/,美食料理
33,陳彥婷,陳彥婷 Tiffany,thetiffanychen,4053642540,2147,642973,352,https://www.instagram.com/thetiffanychen/,趣味搞笑
34,魚乾,魚乾,annie72127,310596431,1809,350257,500,https://www.instagram.com/annie72127/,"寵物,遊戲電玩,趣味搞笑"
35,志祺七七,志祺,shasha77.daily,7011513421,1093,238862,552,https://www.instagram.com/shasha77.daily/,"知識教育,時事討論,高階經理人"
36,HOOK,HOOK ,helloiamhook,6666970922,1154,648553,448,https://www.instagram.com/helloiamhook/,"寵物,旅遊,美食料理"
37,木曜4超玩,木曜4超玩,muyao4,5422332449,817,342007,71,https://www.instagram.com/muyao4/,旅遊
