influencer,media_id,creation_time,expected_filename,more5min,prompt_emb,video_emb,audio_emb
yga0721,2.3739E+15,2024-12-31 16:19:29+00:00,yga0721-20250430104332-2373904119741533.mp4,0,1,1,1
yga0721,1.26126E+15,2025-01-01 04:04:22+00:00,yga0721-20250502174002-1261264749196499.mp4,0,1,1,1
yga0721,1.39104E+15,2025-01-03 13:04:43+00:00,yga0721-20250429150341-1391040025446469.mp4,0,1,1,1
yga0721,8.25213E+14,2025-01-05 12:00:00+00:00,yga0721-20250502110005-825213347238686.mp4,0,1,1,1
yga0721,1.46093E+15,2025-01-06 03:56:40+00:00,yga0721-20250503001706-1460932138918279.mp4,0,1,1,1
yga0721,9.27066E+14,2025-01-06 11:48:41+00:00,yga0721-20250430234205-927066019741199.mp4,0,1,1,1
yga0721,1.4355E+15,2025-01-06 12:33:23+00:00,yga0721-20250430140758-1435500961616519.mp4,0,1,1,1
yga0721,9.00815E+14,2025-01-06 13:03:18+00:00,yga0721-20250429162542-900814659316900.mp4,0,1,1,1
yga0721,2.34575E+15,2025-01-06 13:36:22+00:00,yga0721-20250502070004-2345753715933560.mp4,0,1,1,1
yga0721,1.22056E+15,2025-01-07 11:59:39+00:00,yga0721-20251106013248-1220563339578319.mp4,0,1,1,1
yga0721,7.86043E+14,2025-01-07 12:56:09+00:00,yga0721-20250429190331-786042677168901.mp4,0,1,1,1
yga0721,2.1301E+15,2025-01-08 12:30:55+00:00,yga0721-20250501204334-2130096337823392.mp4,0,1,1,1
yga0721,1.42062E+15,2025-01-10 12:33:15+00:00,yga0721-20250502083058-1420619716263407.mp4,0,1,1,1
yga0721,1.22693E+15,2025-01-12 12:35:34+00:00,yga0721-20250502080323-1226932216214578.mp4,0,1,1,1
yga0721,8.95024E+14,2025-01-13 12:07:22+00:00,yga0721-20250501064141-895023786227361.mp4,0,1,1,1
yga0721,3.25658E+15,2025-01-14 12:43:49+00:00,yga0721-20250928123209-3256577404526283.mp4,0,1,1,1
yga0721,1.29506E+15,2025-01-15 11:47:20+00:00,yga0721-20250502072009-1295059725764097.mp4,0,1,1,1
yga0721,9.26532E+14,2025-01-16 11:41:51+00:00,yga0721-20250502125542-926532136396806.mp4,0,1,1,1
yga0721,2.20839E+15,2025-01-16 12:26:56+00:00,yga0721-20250501223707-2208394253232647.mp4,0,1,1,1
yga0721,1.53298E+15,2025-01-20 11:56:01+00:00,yga0721-20250523021125-1532978657788554.mp4,0,1,1,1
yga0721,9.0874E+14,2025-01-20 13:19:32+00:00,yga0721-20250213170746-908739578298355.mp4,0,1,1,1
yga0721,1.22188E+15,2025-01-20 16:43:50+00:00,yga0721-20250408132842-1221883949463628.mp4,0,1,1,1
yga0721,2.38289E+15,2025-01-22 12:00:05+00:00,yga0721-20250529112242-2382887622148423.mp4,0,1,1,1
yga0721,1.37922E+15,2025-01-22 13:01:26+00:00,yga0721-20250502075250-1379219033508350.mp4,0,1,1,1
yga0721,1.40413E+15,2025-01-23 12:00:15+00:00,yga0721-20251129004849-1404130634505530.mp4,0,1,1,1
yga0721,1.15944E+15,2025-01-24 11:59:30+00:00,yga0721-20260112023602-1159441849602125.mp4,0,1,1,1
yga0721,6.58581E+14,2025-01-25 13:11:22+00:00,yga0721-20250501223302-658580630647694.mp4,0,1,1,1
yga0721,1.61287E+15,2025-01-26 04:25:28+00:00,yga0721-20250410015227-1612872329718733.mp4,0,1,1,1
yga0721,1.64756E+15,2025-01-27 04:21:56+00:00,yga0721-20250430150716-1647560136598246.mp4,0,1,1,1
yga0721,1.58572E+15,2025-01-29 04:29:52+00:00,yga0721-20250413024207-1585715752471770.mp4,0,1,1,1
yga0721,2.28716E+15,2025-01-30 04:11:02+00:00,yga0721-20250502151514-2287160761769118.mp4,0,1,1,1
yga0721,6.56423E+14,2025-01-30 12:55:21+00:00,yga0721-20250502134042-656422817530271.mp4,0,1,1,1
yga0721,7.84794E+14,2025-01-31 04:28:02+00:00,yga0721-20250413023915-784793633972267.mp4,0,1,1,1
yga0721,1.67685E+15,2025-01-31 12:58:31+00:00,yga0721-20250502180410-1676848297007948.mp4,0,1,1,1
yga0721,3.37035E+15,2025-02-01 12:12:33+00:00,yga0721-20250213170746-3370347773115115.mp4,0,1,1,1
yga0721,1.56661E+15,2025-02-02 04:12:56+00:00,yga0721-20250413023843-1566607064604943.mp4,0,1,1,1
yga0721,1.29894E+15,2025-02-02 10:28:58+00:00,yga0721-20250413023653-1298942955590206.mp4,0,1,1,1
yga0721,2.05802E+15,2025-02-02 12:56:52+00:00,yga0721-20250430071129-2058015628381818.mp4,0,1,1,1
yga0721,8.44515E+14,2025-02-03 13:16:56+00:00,yga0721-20250430171203-844514891976541.mp4,0,1,1,1
yga0721,9.12993E+14,2025-02-04 12:31:27+00:00,yga0721-20250503031533-912992564455620.mp4,0,1,1,1
yga0721,2.0689E+15,2025-02-04 13:17:08+00:00,yga0721-20250430010051-2068895457380051.mp4,0,1,1,1
yga0721,1.22569E+15,2025-02-05 11:25:15+00:00,yga0721-20250905113525-1225691793033658.mp4,0,1,1,1
yga0721,1.43651E+15,2025-02-05 12:36:05+00:00,yga0721-20250502094951-1436511421363506.mp4,0,1,1,1
yga0721,2.27565E+15,2025-02-07 11:34:12+00:00,yga0721-20250430054209-2275650622916016.mp4,0,1,1,1
yga0721,9.29477E+14,2025-02-07 12:38:16+00:00,yga0721-20250731122527-929477109518096.mp4,0,1,1,1
yga0721,1.64951E+15,2025-02-08 04:30:17+00:00,yga0721-20250429182852-1649514573079220.mp4,0,1,1,1
yga0721,2.17075E+15,2025-02-09 12:33:04+00:00,yga0721-20250514050738-2170754950395377.mp4,0,1,1,1
yga0721,3.35692E+15,2025-02-10 12:06:57+00:00,yga0721-20251113000137-3356917461127013.mp4,0,1,1,1
yga0721,2.64594E+15,2025-02-12 11:30:00+00:00,yga0721-20251114085028-2645943862435142.mp4,0,1,1,1
yga0721,8.66662E+14,2025-02-13 12:02:15+00:00,yga0721-20250828235156-866661932877617.mp4,0,1,1,1
yga0721,9.17539E+14,2025-02-15 12:40:17+00:00,yga0721-20250430042309-917539137499884.mp4,0,1,1,1
yga0721,1.43547E+15,2025-02-18 11:50:41+00:00,yga0721-20250502031932-1435473888322224.mp4,0,1,1,1
yga0721,1.52932E+15,2025-02-19 11:34:34+00:00,yga0721-20250220014001-1529316312527257.mp4,0,1,1,1
yga0721,1.53953E+15,2025-02-19 12:29:39+00:00,yga0721-20250501162909-1539532037160165.mp4,0,1,1,1
yga0721,1.60503E+15,2025-02-20 11:39:30+00:00,yga0721-20250430193734-1605025540498877.mp4,0,1,1,1
yga0721,1.6101E+15,2025-02-20 12:43:54+00:00,yga0721-20250918155822-1610095179999965.mp4,0,1,1,1
yga0721,8.77444E+14,2025-02-22 04:15:11+00:00,yga0721-20250430125522-877444005138287.mp4,0,1,1,1
yga0721,1.22911E+15,2025-02-23 12:34:36+00:00,yga0721-20250501185707-1229112955300860.mp4,0,1,1,1
yga0721,2.70364E+15,2025-02-25 12:03:31+00:00,yga0721-20250226122417-2703635530003176.mp4,0,1,1,1
yga0721,2.1148E+15,2025-02-25 13:03:46+00:00,yga0721-20250729123929-2114801712672936.mp4,0,1,1,1
yga0721,9.0648E+14,2025-02-26 11:37:21+00:00,yga0721-20250301065726-906480315199841.mp4,0,1,1,1
yga0721,1.48927E+15,2025-02-26 12:43:50+00:00,yga0721-20250502084532-1489265722757551.mp4,0,1,1,1
yga0721,4.28101E+15,2025-02-27 12:26:24+00:00,yga0721-20250530021917-4281006648837448.mp4,0,1,1,1
yga0721,1.25643E+15,2025-02-28 11:26:51+00:00,yga0721-20250830170718-1256430443060366.mp4,0,1,1,1
yga0721,1.84426E+15,2025-02-28 12:37:59+00:00,yga0721-20250430190231-1844263766239525.mp4,0,1,1,1
yga0721,9.21251E+14,2025-03-01 13:30:54+00:00,yga0721-20250501073604-921250637010955.mp4,0,1,1,1
yga0721,9.41944E+14,2025-03-02 04:21:27+00:00,yga0721-20250501201603-941943621729255.mp4,0,1,1,1
yga0721,8.93355E+14,2025-03-02 12:47:05+00:00,yga0721-20250731122459-893355403618240.mp4,0,1,1,1
yga0721,1.25997E+15,2025-03-03 11:30:00+00:00,yga0721-20250306012006-1259968149368911.mp4,0,1,1,1
yga0721,2.4865E+15,2025-03-03 12:29:11+00:00,yga0721-20250803180212-2486495065078340.mp4,0,1,1,1
yga0721,3.35525E+16,2025-03-04 11:48:16+00:00,yga0721-20250704212839-33552474627729881.mp4,0,1,1,1
yga0721,1.3591E+15,2025-03-05 11:31:47+00:00,yga0721-20250430125733-1359100772656550.mp4,0,1,1,1
yga0721,9.16729E+14,2025-03-05 12:38:43+00:00,yga0721-20250605152552-916729230945020.mp4,0,1,1,1
yga0721,1.2184E+15,2025-03-07 12:32:38+00:00,yga0721-20250501051915-1218402763201691.mp4,0,1,1,1
yga0721,8.79592E+14,2025-03-10 11:54:23+00:00,yga0721-20251224233719-879591824716940.mp4,0,1,1,1
yga0721,1.82417E+15,2025-03-11 12:05:56+00:00,yga0721-20250919052315-1824174681513645.mp4,0,1,1,1
yga0721,1.6134E+15,2025-03-13 12:26:15+00:00,yga0721-20250315214621-1613398006745754.mp4,0,1,1,1
yga0721,2.001E+15,2025-03-14 12:32:14+00:00,yga0721-20250715214232-2000995290459307.mp4,0,1,1,1
yga0721,9.04925E+14,2025-03-14 13:17:56+00:00,yga0721-20250528233229-904925422188220.mp4,0,1,1,1
yga0721,8.78353E+14,2025-03-17 11:59:05+00:00,yga0721-20250430073059-878353441487241.mp4,0,1,1,1
yga0721,7.0034E+14,2025-03-18 08:05:55+00:00,yga0721-20250629211712-700339856378001.mp4,0,1,1,1
yga0721,8.81393E+14,2025-03-18 12:04:49+00:00,yga0721-20250810151826-881392754756410.mp4,0,1,1,1
yga0721,2.6953E+15,2025-03-19 11:12:11+00:00,yga0721-20251018234450-2695298694159731.mp4,0,1,1,1
yga0721,8.76177E+14,2025-03-20 12:20:49+00:00,yga0721-20250806013428-876176862050494.mp4,0,1,1,1
yga0721,1.21838E+15,2025-03-20 13:19:19+00:00,yga0721-20250804020437-1218381220481244.mp4,0,1,1,1
yga0721,1.40075E+15,2025-03-21 01:49:56+00:00,yga0721-20250613134815-1400747154314200.mp4,0,1,1,1
yga0721,1.42943E+15,2025-03-21 12:03:01+00:00,yga0721-20250430121651-1429426552147072.mp4,0,1,1,1
yga0721,2.01557E+15,2025-03-23 04:13:30+00:00,yga0721-20250323185335-2015572502705871.mp4,0,1,1,1
yga0721,8.33848E+14,2025-03-23 13:21:00+00:00,yga0721-20250719145816-833847739705630.mp4,0,1,1,1
yga0721,7.41299E+14,2025-03-24 12:54:38+00:00,yga0721-20250502041645-741298588748637.mp4,0,1,1,1
yga0721,2.13846E+15,2025-03-26 12:00:59+00:00,yga0721-20250329090104-2138456880259989.mp4,0,1,1,1
yga0721,7.5607E+14,2025-03-27 11:16:56+00:00,yga0721-20250905180808-756070243795094.mp4,0,1,1,1
yga0721,2.69271E+15,2025-03-28 13:05:55+00:00,yga0721-20250503153511-2692705667759193.mp4,0,1,1,1
yga0721,1.23506E+15,2025-03-31 11:52:51+00:00,yga0721-20250511093741-1235059551924886.mp4,0,1,1,1
yga0721,2.71285E+15,2025-04-01 11:47:03+00:00,yga0721-20250909180928-2712851459067601.mp4,0,1,1,1
yga0721,8.99298E+14,2025-04-02 12:02:40+00:00,yga0721-20250629121425-899298279147755.mp4,0,1,1,1
yga0721,1.25225E+15,2025-04-03 13:02:36+00:00,yga0721-20250501203323-1252245530134541.mp4,0,1,1,1
yga0721,2.10731E+15,2025-04-03 13:44:21+00:00,yga0721-20250430121906-2107310443391749.mp4,0,1,1,1
yga0721,1.59953E+15,2025-04-04 12:07:00+00:00,yga0721-20250703144906-1599529917748519.mp4,0,1,1,1
yga0721,1.55661E+15,2025-04-07 11:27:19+00:00,yga0721-20250429153705-1556612252302610.mp4,0,1,1,1
yga0721,3.55737E+15,2025-04-07 12:01:44+00:00,yga0721-20250413143530-3557373997738779.mp4,0,1,1,1
yga0721,1.97017E+15,2025-04-08 11:30:00+00:00,yga0721-20250501010658-1970174680379219.mp4,0,1,1,1
yga0721,6.73119E+14,2025-04-09 11:54:39+00:00,yga0721-20250722150612-673119385822730.mp4,0,1,1,1
yga0721,9.11247E+14,2025-04-10 12:02:15+00:00,yga0721-20250430132355-911246688132738.mp4,0,1,1,1
yga0721,1.39995E+15,2025-04-10 13:01:59+00:00,yga0721-20250801204521-1399945411063914.mp4,0,1,1,1
yga0721,7.28511E+14,2025-04-11 12:32:29+00:00,yga0721-20250502063107-728511056805502.mp4,0,1,1,1
yga0721,2.37571E+15,2025-04-12 13:06:43+00:00,yga0721-20250712182949-2375706539609377.mp4,0,1,1,1
yga0721,1.64089E+15,2025-04-14 11:58:40+00:00,yga0721-20250417051845-1640892114012921.mp4,0,1,1,1
yga0721,1.57188E+15,2025-04-15 12:02:07+00:00,yga0721-20250805022955-1571883747355939.mp4,0,1,1,1
yga0721,1.41598E+15,2025-04-16 12:02:53+00:00,yga0721-20250503053514-1415983970173746.mp4,0,1,1,1
yga0721,1.40241E+15,2025-04-17 12:04:05+00:00,yga0721-20250525020946-1402414215013568.mp4,0,1,1,1
yga0721,9.19756E+14,2025-04-19 13:15:54+00:00,yga0721-20250726013724-919756220581860.mp4,0,1,1,1
yga0721,8.99308E+14,2025-04-20 04:16:06+00:00,yga0721-20250715102812-899308245836473.mp4,0,1,1,1
yga0721,1.44767E+15,2025-04-21 11:34:45+00:00,yga0721-20250502043812-1447665770324166.mp4,0,1,1,1
yga0721,1.64789E+15,2025-04-23 11:55:08+00:00,yga0721-20260122034232-1647891163043742.mp4,0,1,1,1
yga0721,1.47028E+15,2025-04-24 12:33:03+00:00,yga0721-20250426140308-1470277038043280.mp4,0,1,1,1
yga0721,9.1266E+14,2025-04-25 13:05:06+00:00,yga0721-20260116104856-912660264474887.mp4,0,1,1,1
yga0721,8.58602E+14,2025-04-29 11:58:44+00:00,yga0721-20250502091851-858602230504081.mp4,0,1,1,1
yga0721,2.22319E+15,2025-05-04 04:25:55+00:00,yga0721-20250504182600-2223193631423701.mp4,0,1,1,1
yga0721,9.11189E+14,2025-05-05 10:56:12+00:00,yga0721-20250506012617-911189038118588.mp4,0,1,1,1
yga0721,1.61305E+15,2025-05-06 11:54:53+00:00,yga0721-20250727142015-1613048089709392.mp4,0,1,1,1
yga0721,8.90984E+14,2025-05-07 11:51:01+00:00,yga0721-20250718185626-890983677181770.mp4,0,1,1,1
yga0721,2.65161E+15,2025-05-09 12:10:09+00:00,yga0721-20250705105813-2651614961884089.mp4,0,1,1,1
yga0721,1.53551E+15,2025-05-13 12:15:40+00:00,yga0721-20250626215409-1535509637524594.mp4,0,1,1,1
yga0721,8.5086E+14,2025-05-15 12:04:10+00:00,yga0721-20250515235415-850859514623118.mp4,0,1,1,1
yga0721,4.29158E+15,2025-05-16 12:30:46+00:00,yga0721-20250705151508-4291578684418300.mp4,0,1,1,1
yga0721,2.34968E+15,2025-05-19 11:44:10+00:00,yga0721-20250520160415-2349679782174214.mp4,0,1,1,1
yga0721,9.91665E+14,2025-05-20 11:56:56+00:00,yga0721-20250902010613-991664566848740.mp4,0,1,1,1
